"ID"	"Translation"
"147532"	"দূরবর্তী অঞ্চলে শহর এবং শহর থেকে ফুড পার্কের স্থাপনা করা উচিত যাতে গ্রামীণ জনগোষ্ঠীর সুবিধা পাওয়া যায় আর শহরগুলি তো উপেক্ষা হয় না ।"
"147533"	"একদিকে স্পিটি উপত্যকা এবং অন্য দিকে রয়েছে অসংখ্য সি.বি. (চন্দ্রা-ভাগা) পর্বতশ্রেণী।"
"147534"	"আই.এন.এফ জাতীয় দলের জন্য বিশ্ব র‍্যাঙ্কিং সংকলন, নেটবলের নিয়ম বজায় রাখার এবং বেশ কয়েকটি প্রধান আন্তর্জাতিক প্রতিযোগিতার আয়োজনের জন্য দায়বদ্ধ।"
"147535"	"২০০১ সালের জনগণনায় জেলার মোট জনসংখ্যা ১৯২,৭৯৫ ছিল।"
"147536"	"পাটালি শ্রীখেত্র হল ভারতের ওড়িশা রাজ্যের সুবর্ণপুর জেলার উল্লেখযোগ্য ঐতিহাসিক গুরুত্বসম্পন্ন একটি বিখ্যাত স্থান।"
"147537"	"আজকের সঠিক তারিখ কি"
"147538"	"অমিতাভের শব্দে কেবলমাত্র প্রাণ নিজের শিল্পীদের মাধ্যমে হিন্দী সিনেমাকে প্রাণ দেন ।"
"147539"	"করা কৃষির থেকে এই সমাধান বার করলেন যে স্থানীয়করণে ভৌতিক তত্ত্ব অপেক্ষা আর্থিক তত্ত্ব অধিক শক্তিশালী হয় ৷"
"147540"	"আপনার জি.পি.ও দেখতে পাবেন যে আপনি অন্য কোনও চোখের অবস্থাতে ভোগেন না, যেমন ব্লিফরাইটিস, যা একটি অবস্থা যা আপনার চোখের পাতা জ্বালা এবং ফুলে ওঠার কারণ।"
"147541"	"একজন শিশুকে পুষ্টির প্রয়োজন ৪ থেকে ৬ মাসের আগে শক্ত খাবারে।"
"147542"	"সর্পগন্ধার তৈরি ওষুধ সেবন করলে মালীখোলিয়াতে রোগীর অনেক উপকার পাওয়া যায় ৷"
"147543"	"এতে কিছু তাজা কাঁচা সবজি স্যালাড হিসেবে এবং অন্তত দুটি রান্না করা সবজি থাকতে পারে।"
"147544"	"কেরল হল পারস্পরিক ধার্মিক দৃষ্টিকোণের জন্য বিখ্যাত বিভিন্ন সংস্কৃতির সঙ্গম স্থল ।"
"147545"	"পূর্ব এবং প্যাসিফিকের মধ্যে সময়ের পার্থক্য কি"
"147546"	"দয়া করে জ্যাজ সঙ্গীত চালাও"
"147547"	"তালিকা সরান"
"147548"	"চার্জ নেওয়ার পরই মানেকশ এই সিদ্ধান্তে পৌঁছায় যে চীনের সঙ্গে যুদ্ধে দুর্বল নেতৃত্বের একটি উল্লেখযোগ্য কারণ ছিল।"
"147549"	"সেখানকার গ্রামগুলিতে ঘোরা , রাতে বাইরে ঘোরা আর আঙুরের মদের মধ্যে মদ পাওয়ার ফলে এখানকার পর্যটন ব্যবসার গুরুত্বপূর্ণ অংশ ৷"
"147550"	"এদের মধ্যে ক্ষারীয়তা বেশি থাকে।"
"147551"	"বিশ্লেষক মিশ্রণ - যেমন অমর গেমে-সুন্দর মনে করা হয় এবং দাবা প্রেমিকদের দ্বারা প্রশংসিত হয়।"
"147552"	"আমেরের রাজারা বিশেষ করে মুঘলদের সঙ্গে তাদের ঘনিষ্ঠ সংযোগ থেকে লাভ করে এবং অসীম সম্পদ ও ক্ষমতা অর্জন করেন।"
"147553"	"তোমার থাকার জন্য জেস্ট।"
"147554"	"নেমাটোড থেকে জন্ম নেওয়া রোগও এই রোগের মধ্যে একটা প্রধান সমস্যা ৷"
"147555"	"আমি আজ যেখানে আছি সেখানকার আবহাওয়া কেমন?"
"147556"	"আই.এস.আই.এস: হিউম্যানিটির এনেমিজ সন্ত্রাসবাদের উপর ভিত্তি করে একটি হিন্দি চলচ্চিত্র।"
"147557"	"এই জন্য জল পান করতে থাকুন ৷"
"147558"	"ঝিলের ওপর বরফ জমে ছিল আর সেখান থেকে কিছুটা দূরে মানব अवशेषও পাওয়া যায় ৷"
"147559"	"গোবিন্দরাজ বা ভগবান বিষ্ণুর একটি মন্দির প্রধান মন্দিরের পাশে অবস্থিত এবং শূকর আদিসেশের উপর উৎসর্গীকৃত ভগবানের একটি সুন্দর মূর্তি আছে।"
"147560"	"আমি আমার মোবাইল নম্বর 6741035188 এর জন্য কোভিড ভ্যাকসিন সার্টিফিকেট ডাউনলোড করতে চাই"
"147561"	"আপনার সম্পদ থেকে আপনার দায়বদ্ধতাগুলি জমা করুন, এবং আপনার মোট মূল্যের একটি স্ন্যাপশন থাকবে।"
"147562"	"প্রথমদিকে মুম্বই পোর্ট ট্রাস্ট দিয়ে বুক করা আসন নিন এবং আরব সাগরের বিয়াবান উপভোগ করুন।"
"147563"	"এই নৃত্যকে বেশিভাগ ছোটো মেয়রাই করে , কিন্তু ছেলেরা অথবা পুরুষদের জন্য কোনো বাধা নেই ।"
"147564"	"সাথ্যামঙ্গলম ব্যাঘ্র অভয়ারণ্য, মুকুর্তি জাতীয় উদ্যান এবং কালাক্কাদ মুন্দান্তুরাই বাঘ সংরক্ষণাগার হল এই রাজ্যের বাঘ রিজার্ভ।"
"147565"	"এটি চলাকালীন আবহাওয়া চক্রের ভারসাম্যই ওলট-পালট হয়ে গেছে ৷"
"147566"	"ডি.আই.এম.বি.ও.এ সম্পর্কিত ঘাস, বিশেষ করে গমের ক্ষেত্রেও পাওয়া যায়।"
"147567"	"ব্রিটিশ ভারতীয় প্রশাসনের বেশিরভাগ উচ্চ পদাতিক কর্মকর্তা হিন্দু ছিলেন এবং পশ্চিমবঙ্গে চলে যান।"
"147568"	"নেদারল্যান্ডস-এ প্রায় ৫০০টি ক্লাব রয়েছে এবং ৯,০০০-এরও বেশি লোক কর্ফবল খেলে।"
"147569"	"১৯৫৬ সালে সেন্ট ফিলমেনা চার্চ, সুন্দর ক্যাথিড্রাল তৈরি হয় এবং এটি দেশের বৃহত্তম গির্জাগুলির মধ্যে একটি।"
"147570"	"এটি পর্যটকদের জন্য মানচিত্রে জাইন রাখে এবং ১৯৮৭ সালে ইউনেস্কো কর্তৃক বিশ্বের সাংস্কৃতিক ঐতিহ্যের মধ্যে একটি হিসাবে তালিকাভুক্ত করা হয়।"
"147571"	"ক্লান্তি অনুভব করে এমন জুতো একেবারে পরবেন না ৷"
"147572"	"মিটিংয়ের আগে একটি সতর্কতা পাঠান"
